"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bulgaria","BGR","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","5606923076.92308","5492857142.85714","5315333333.33333","4430000000","4506500000","4533052631.57895","5465235294.11765","7551769230.76923","6035294117.64706","5737777777.77778","4387227272.72727","1384922419.60872","1395698556.18868","1403276074.50895","1336073447.37134","3165607181.67066","547397534.41753","1095512816.32032","2193595848.11726","2216760882.6699","2216209393.50767","2732571126.21","3112848252.86775","4187788205.93501","5480234701.2175","7665840179.95938","9433243953.72954","12569071061.1945","17967522662.5643","14452739476.7298","11243960303.0205","12020349701.1642","11468862389.5404","11823933353.5564","12021726610.604","10589658240.7617","9928652147.40374","10829935383.0516","12446058699.7795","12823852546.1895","13389660980.7071","13738089522.4562","15389872386.0867","19140332576.5478","20756052796.6493",
"Bahrain","BHR","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","946934996.020164","1011968085.10638","1201861436.17021","1532181117.02128","1720744946.80851","1232978723.40426","984308510.638298","764095744.680851","715691489.361702","765425531.914894","800531914.893617","913563829.787234","1027127659.57447","1207978723.40426","1110372340.42553","1013563829.78723","755585106.382979","760372340.425532","867553191.489362","898936170.212766","1485265957.44681","1523590425.53191","2217234042.55319","2610585106.38298","2960611702.12766","4101808510.6383","5458803191.48936","7290691489.3617","8876090425.53192","5794175531.91489","7347985638.29787","6427791223.40425","8685401595.74468","8493888031.91489","9072225531.91489","7943380851.06383","9092065159.57447","10586824734.0426","11730875000","11141223404.2553","10423563829.7872","10145452127.6596","12473643617.0213","12709042553.1915","13632803457.4468",
"Bahamas, The","BHS","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","81300000","85900000","135300000","212900000","238900000","298700000","310700000","326500000","407800000","425200000","508100000","","877900000","811370000","790590000","812400000","659620000","787950000","872290000","999170000","1780500000","2129300000","2126600000","2261100000","2112900000","2033600000","2043900000","1993600000","2571600000","3288500000","3119700000","2977400000","2672600000","2694900000","2856600000","3249300000","2965600000","3371300000","2792100000","2944100000","3294400000","3131600000","3213800000","2279900000","2804900000","3134800000","3325200000","4076900000",
"Bosnia and Herzegovina","BIH","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","229000000","948237971.823498","1256401062.01876","1340696369.99707","1119863546.85572","1731968712.02058","1682948674.54224","1949040020.78752","2359591201.50127","2733913825.73293","3297048302.24286","2993187485.88904","4328460052.21822","5616679199.15878","4257447416.02866","3639726424.42136","4186179693.90243","3843917199.33518","3900994941.79088","4343072266.47691","3502912630.16787","3610172842.74596","4065174002.06183","4674927111.59123","4724092860.9124","4682512623.98295","5119622449.36218","5539301230.661","6565101594.459","7245545219.97561",
"Belarus","BLR","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3815261044.17671","4089979550.10225","4234947523.47634","5518654373.61621","4966235806.40911","3450960316.25823","3056566664.8946","3564743490.98752","3947775754.42248","3195695862.33178","3209885099.43375","2800719424.46043","3208651419.38222","4233231120.23283","5858831807.28246","8010697272.7526","10963181258.6265","14205854394.9899","20232727953.5667","18079017561.4472","22221479867.4505","23275700906.3991","21949669541.4363","28086317081.548","26185140990.405","16176727475.0267","12140907324.8749","14315064310.562","15744588753.087","17412991691.7768","15567137718.66","15726156361.0939","14347587677.5446","16347847772.9563","18079060018.6311",
"Belize","BLZ","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","42642151","46212387.5","39060792.5","34563059","41459809.5","35176232.5","38451488","57436169.5","78124970.5","96112036","120566378.580068","144430150","159983900","187900050","141286050","159319100","154194650","154424000","153249600","213272200","282257350","259429750","249375800","221757750","220866300","243918450","266501200","300273600","383214700","279045550","242703500","260902550","259729150","298374800","352068800","358793850","403710800","349367400","379056250","399013500","351250800","484152150","584102300","625765100","677057200",
"Bermuda","BMU","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","865343000","794297000","702521000","704322000","775746000","791397000","883410000","983043000","968986000","1094851000","842869000","940628000","987177000","960810000","1010800000",
"Bolivia","BOL","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","150841750.841751","164225589.225589","197292215.118466","225837081.45927","327336331.834083","452523738.130935","533983008.495752","620389805.097451","819040479.76012","853782061.754617","767699836.867863","952895595.4323","838389303.644356","679441350.429564","936336113.051743","777747590.542374","529828251.392894","525473379.078765","583952335.398132","565507342.432225","611294834.286795","773919401.397751","920829366.978788","955652305.007898","888299945.655432","1043101470.68688","1196557766.38687","1503429161.64376","1967443290.38882","1582225490.70884","1502164633.15039","1133850599.30373","1237180516.03905","1023548840.23289","1025363923.89113","1240511937.54772","1637233582.18447","2117532123.88608","2876098752.73561","2857502535.61254","3256400424.87409","4544764105.67046","4973493024.60203","5843695079.59479","6923276541.24457","7052492040.52098","7015795123.01013","10617352011.5774","11049680897.2504","11240940043.4153","6682925036.17945","8159900535.45586","8857029681.62084","9268433328.50941","9115136367.58321",
"Brazil","BRA","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","7971917261.70508","9729130523.00776","11880838993.8565","17026417445.9026","23985056668.301","30141749198.4928","34337500831.3634","37641541979.4465","44592290846.3593","51706247744.726","53826080660.5669","60453985735.769","60381604384.6568","36859357044.4999","35296622617.3514","37785143717.0966","51195731724.2511","65594532325.1881","74949694220.4051","111106040869.514","80737922611.3346","62043152645.978","60462918136.9297","71018902564.3334","109004180881.639","156069249104.393","158525047096.446","168894696685.012","160152305005.739","102036859742.565","119976435161.601","103138283009.376","91387178904.1062","92693365397.5435","115922472164.958","152078701262.06","190625875166.064","251421345597.382","328747156460.047","318428932633.81","453577697040.944","539162778706.457","510714264758.803","517114053016.413","488090287537.688","321439054845.258","278769300344.855","300426825308.138","289397794203.252","289819590854.458","244458446938.339","299344090831.767","347450296514.977","359586105741.17","369608480423.928",
"Barbados","BRB","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","554798390.777015","657643198.772105","763509015.658013","973009275.203242","1217360413.56834","1171237701.67679","1735602786.84187","2113413723.43074","1844685433.65261","1369501231.47558","983505776.252731","1225438422.9824","1284007795.84791","2140447551.30717","1571438936.0934","1684002868.25209","1698546440.54273","1921647923.48073","2654474348.78329","3288048832.63581","3122785168.66508","3225578855.73179","4800518159.84094","6241430191.41831","7139516898.63695","4663988824.34651","4529222473.30918","3918097624.99937","4194838332.64175","5547710722.43775","5186602151.1209","4847657213.18284","4353834218.75314","4283490481.20462","4441789245.61456","4249058995.64996",
"Bhutan","BTN","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","42265639.6553709","47973493.8626368","52299005.4501619","64075317.9208266","61396391.9999528","74326435.573522","81700368.2468874","90160675.8477028","108356039.83967","96976980.6785615","67765264.4328277","82616745.5346576","97991294.3407118","97006948.2822648","110899659.339329","122929124.940863","114558978.390109","115102188.769146","124198469.850421","159861753.087207","241211808.078505","308770342.243002","379990470.747579","433633410.21642","506908314.366166","530952532.286016","455172405.116665","505129652.362757","595836486.884793","662672690.143409","1072098804.93757","1340710927.53368","1364694481.8419","1231343026.35191","1141223249.78698","1228483556.16472","1342025268.93505","1406179780.30363","1384761813.15816","1252934309.40525","947911136.02148","1217988086.64084","1597146306.8627","1343952460.73612","",
"Botswana","BWA","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","10679375.8218931","11924968.9323178","13178997.2805244","13807569.8955925","18940000.5849118","33221014.664705","58601097.0686819","76019502.3989814","103657324.301195","100739245.036992","94522304.0183473","92747523.1868808","115207373.271889","170076446.857299","258034593.567908","366174531.184663","384170433.2778","326515231.712185","319210229.313554","326716590.68696","254498264.712885","311444998.360956","540995782.460491","792223289.226441","969484129.623214","1226493792.41545","1232985268.28578","1225301875.8369","1120998937.30074","1102380389.21347","1276203400.39543","1115637851.78797","1313971901.21627","1346725415.77139","1463196807.36615","1455329491.552","1422824077.2444","1494186281.72355","2104433806.74357","2493917875.94025","2513432466.23801","2009773407.88639","2596158874.69864","2724101482.70258","2867075901.49853","3382352852.85838","4563156300.75781","4376099377.98777","3937537594.17296","3934884681.88184","3667277513.89279","3698137794.16829","3894094052.65101","4495321361.08177","4825368489.58805","4133640184.97514","4948933270.96745","4961029955.35221","4976536965.75038","5488711701.05019",
"Central African Republic","CAF","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","59019937.2079141","55394089.0345148","78506342.3071326","55376861.7129092","55937573.0420137","47777547.3128322","69016915.220437","77353216.531545","107240088.696116","144375245.765374","154393860.404911","124573516.419113","129096954.935332","170187266.375408","167720103.586687","171350226.295827","126083044.32769","101587757.463781","145601981.723969","67481841.4996093","73505655.8698441","79804828.114976","129551919.111137","101508293.816306","95510950.769748","95871027.6977319","73162938.9919037","86674954.633274","131980836.878637","149609812.880063","181662922.460469","253728676.226736","267141732.917664","345737639.132121","327016338.080527","270330597.678331","107410488.735258","400864935.007648","348878414.784005","381020689.45128","502296752.771754","364195716.232293","319603726.069576","425761306.166574","395670555.285332","355779044.629239","372970146.961664","416463384.036995",
